Year,Region,GeoCode,Value
2010,,,
2010,Baden-Württemberg,code08,
2010,Bayern,code09,6.1
2010,Berlin,code11,12.4
2010,Brandenburg,code12,10.6
2010,Bremen,code04,9.8
2010,Hamburg,code02,6.8
2010,Hessen,code06,9.4
2010,Mecklenburg-Vorpommern,code13,8.7
2010,Niedersachsen,code03,2.9
2010,Nordrhein-Westfalen,code05,3.6
2010,Rheinland-Pfalz,code07,5.1
2010,Saarland,code10,10.6
2010,Sachsen,code14,3.7
2010,Sachsen-Anhalt,code15,4.2
2010,Schleswig-Holstein,code01,3.3
2010,Thüringen,code16,4.4
2011,,,20.1
2011,Baden-Württemberg,code08,7.0
2011,Bayern,code09,6.1
2011,Berlin,code11,12.4
2011,Brandenburg,code12,10.6
2011,Bremen,code04,9.8
2011,Hamburg,code02,6.8
2011,Hessen,code06,9.4
2011,Mecklenburg-Vorpommern,code13,8.7
2011,Niedersachsen,code03,2.9
2011,Nordrhein-Westfalen,code05,3.6
2011,Rheinland-Pfalz,code07,5.1
2011,Saarland,code10,10.6
2011,Sachsen,code14,3.7
2011,Sachsen-Anhalt,code15,4.2
2011,Schleswig-Holstein,code01,3.3
2011,Thüringen,code16,4.4
