Year,Value,Series
2010,4.5,Unter erheblicher materieller Deprivation leidende Personen
2011,5.3,Unter erheblicher materieller Deprivation leidende Personen
2012,4.9,Unter erheblicher materieller Deprivation leidende Personen
2013,5.4,Unter erheblicher materieller Deprivation leidende Personen
2014,5.0,Unter erheblicher materieller Deprivation leidende Personen
2015,4.4,Unter erheblicher materieller Deprivation leidende Personen
2016,3.7,Unter erheblicher materieller Deprivation leidende Personen
2017,3.4,Unter erheblicher materieller Deprivation leidende Personen
2018,3.1,Unter erheblicher materieller Deprivation leidende Personen
2019,2.6,Unter erheblicher materieller Deprivation leidende Personen
2010,19.7,Von Armut oder sozialer Ausgrenzung bedrohte Personen
2011,19.9,Von Armut oder sozialer Ausgrenzung bedrohte Personen
2012,19.6,Von Armut oder sozialer Ausgrenzung bedrohte Personen
2013,20.3,Von Armut oder sozialer Ausgrenzung bedrohte Personen
2014,20.6,Von Armut oder sozialer Ausgrenzung bedrohte Personen
2015,20.0,Von Armut oder sozialer Ausgrenzung bedrohte Personen
2016,19.7,Von Armut oder sozialer Ausgrenzung bedrohte Personen
2017,19.0,Von Armut oder sozialer Ausgrenzung bedrohte Personen
2018,18.7,Von Armut oder sozialer Ausgrenzung bedrohte Personen
2019,17.4,Von Armut oder sozialer Ausgrenzung bedrohte Personen
