Year,Value,Units,Series
2010,19.7,Prozent,Verhältnis zum BIP
2011,20.2,Prozent,Verhältnis zum BIP
2012,20.2,Prozent,Verhältnis zum BIP
2013,19.9,Prozent,Verhältnis zum BIP
2014,20.2,Prozent,Verhältnis zum BIP
2015,20.3,Prozent,Verhältnis zum BIP
2016,20.7,Prozent,Verhältnis zum BIP
2017,20.4,Prozent,Verhältnis zum BIP
2018,20.1,Prozent,Verhältnis zum BIP
2019,19.1,Prozent,Verhältnis zum BIP
2020,17.8,Prozent,Verhältnis zum BIP
2010,21.9,Prozent,Verhältnis zur Bruttowertschöpfung insgesamt
2011,22.5,Prozent,Verhältnis zur Bruttowertschöpfung insgesamt
2012,22.4,Prozent,Verhältnis zur Bruttowertschöpfung insgesamt
2013,22.2,Prozent,Verhältnis zur Bruttowertschöpfung insgesamt
2014,22.5,Prozent,Verhältnis zur Bruttowertschöpfung insgesamt
2015,22.6,Prozent,Verhältnis zur Bruttowertschöpfung insgesamt
2016,22.9,Prozent,Verhältnis zur Bruttowertschöpfung insgesamt
2017,22.7,Prozent,Verhältnis zur Bruttowertschöpfung insgesamt
2018,22.3,Prozent,Verhältnis zur Bruttowertschöpfung insgesamt
2019,21.2,Prozent,Verhältnis zur Bruttowertschöpfung insgesamt
2020,19.7,Prozent,Verhältnis zur Bruttowertschöpfung insgesamt
2010,6291.0,EUR,Je Einwohner
2011,6789.0,EUR,Je Einwohner
2012,6880.0,EUR,Je Einwohner
2013,6946.0,EUR,Je Einwohner
2014,7311.0,EUR,Je Einwohner
2015,7538.0,EUR,Je Einwohner
2016,7865.0,EUR,Je Einwohner
2017,8054.0,EUR,Je Einwohner
2018,8130.0,EUR,Je Einwohner
2019,7933.0,EUR,Je Einwohner
2020,7141.0,EUR,Je Einwohner
