Year,Sex,Age group,Profession,Value
2015,,,,1
2016,,,,2
2015,Female,,,1
2016,Female,,,2
2015,Female,11 months and younger,,1
2016,Female,11 months and younger,,2
2015,Female,4 years and younger,,1
2016,Female,4 years and younger,,2
2015,Female,11 months and younger,Medical doctors,1
2016,Female,11 months and younger,Medical doctors,2
2015,Female,11 months and younger,Dentists,1
2016,Female,11 months and younger,Dentists,2
2015,Female,4 years and younger,Medical doctors,1
2016,Female,4 years and younger,Medical doctors,2
2015,Female,4 years and younger,Dentists,1
2016,Female,4 years and younger,Dentists,2
2015,Female,,Medical doctors,1
2016,Female,,Medical doctors,2
2015,Female,,Dentists,1
2016,Female,,Dentists,2
2015,Male,,,1
2016,Male,,,2
2015,Male,11 months and younger,,1
2016,Male,11 months and younger,,2
2015,Male,4 years and younger,,1
2016,Male,4 years and younger,,2
2015,Male,11 months and younger,Medical doctors,1
2016,Male,11 months and younger,Medical doctors,2
2015,Male,11 months and younger,Dentists,1
2016,Male,11 months and younger,Dentists,2
2015,Male,4 years and younger,Medical doctors,1
2016,Male,4 years and younger,Medical doctors,2
2015,Male,4 years and younger,Dentists,1
2016,Male,4 years and younger,Dentists,2
2015,Male,,Medical doctors,1
2016,Male,,Medical doctors,2
2015,Male,,Dentists,1
2016,Male,,Dentists,2
2015,,,Medical doctors,1
2016,,,Medical doctors,2
2015,,,Dentists,1
2016,,,Dentists,2
