Year,Units,Series,Value
2010,Percentage,Verhältnis zum BIP,19.7
2011,Percentage,Verhältnis zum BIP,20.2
2012,Percentage,Verhältnis zum BIP,20.2
2013,Percentage,Verhältnis zum BIP,19.9
2014,Percentage,Verhältnis zum BIP,20.2
2015,Percentage,Verhältnis zum BIP,20.3
2016,Percentage,Verhältnis zum BIP,20.7
2017,Percentage,Verhältnis zum BIP,20.4
2018,Percentage,Verhältnis zum BIP,20.1
2019,Percentage,Verhältnis zum BIP,19.1
2020,Percentage,Verhältnis zum BIP,17.8
2010,Percentage,Verhältnis zur Bruttowertschöpfung insgesamt,21.9
2011,Percentage,Verhältnis zur Bruttowertschöpfung insgesamt,22.5
2012,Percentage,Verhältnis zur Bruttowertschöpfung insgesamt,22.4
2013,Percentage,Verhältnis zur Bruttowertschöpfung insgesamt,22.2
2014,Percentage,Verhältnis zur Bruttowertschöpfung insgesamt,22.5
2015,Percentage,Verhältnis zur Bruttowertschöpfung insgesamt,22.6
2016,Percentage,Verhältnis zur Bruttowertschöpfung insgesamt,22.9
2017,Percentage,Verhältnis zur Bruttowertschöpfung insgesamt,22.7
2018,Percentage,Verhältnis zur Bruttowertschöpfung insgesamt,22.3
2019,Percentage,Verhältnis zur Bruttowertschöpfung insgesamt,21.2
2020,Percentage,Verhältnis zur Bruttowertschöpfung insgesamt,19.7
2010,EUR,Je Einwohner,6291.0
2011,EUR,Je Einwohner,6789.0
2012,EUR,Je Einwohner,6880.0
2013,EUR,Je Einwohner,6946.0
2014,EUR,Je Einwohner,7311.0
2015,EUR,Je Einwohner,7538.0
2016,EUR,Je Einwohner,7865.0
2017,EUR,Je Einwohner,8054.0
2018,EUR,Je Einwohner,8130.0
2019,EUR,Je Einwohner,7933.0
2020,EUR,Je Einwohner,7141.0
