Year,Region,GeoCode,Value
2010,,,
2010,Baden-Wuerttemberg,code08,7.0
2010,Bavaria,code09,6.1
2010,Berlin,code11,12.4
2010,Brandenburg,code12,10.6
2010,Bremen,code04,9.8
2010,Hamburg,code02,6.8
2010,Hesse,code06,9.4
2010,Mecklenburg Western Pomerania,code13,8.7
2010,Lower Saxony,code03,2.9
2010,North Rhine-Westphalia,code05,3.6
2010,Rhineland Palatinate,code07,5.1
2010,Saarland,code10,10.6
2010,Saxony,code14,3.7
2010,Saxony-Anhalt,code15,4.2
2010,Schleswig-Holstein,code01,3.3
2010,Thuringia,code16,4.4
2011,,,20.1
2011,Baden-Wuerttemberg,code08,7.0
2011,Bavaria,code09,6.1
2011,Berlin,code11,12.4
2011,Brandenburg,code12,10.6
2011,Bremen,code04,9.8
2011,Hamburg,code02,6.8
2011,Hesse,code06,9.4
2011,Mecklenburg Western Pomerania,code13,8.7
2011,Lower Saxony,code03,2.9
2011,North Rhine-Westphalia,code05,3.6
2011,Rhineland Palatinate,code07,5.1
2011,Saarland,code10,10.6
2011,Saxony,code14,3.7
2011,Saxony-Anhalt,code15,4.2
2011,Schleswig-Holstein,code01,3.3
2011,Thuringia,code16,4.4
