Year,Value,Series
2010,4.5,Severely materially deprived persons
2011,5.3,Severely materially deprived persons
2012,4.9,Severely materially deprived persons
2013,5.4,Severely materially deprived persons
2014,5.0,Severely materially deprived persons
2015,4.4,Severely materially deprived persons
2016,3.7,Severely materially deprived persons
2017,3.4,Severely materially deprived persons
2018,3.1,Severely materially deprived persons
2019,2.6,Severely materially deprived persons
2010,19.7,Persons at risk of poverty or social exclusion
2011,19.9,Persons at risk of poverty or social exclusion
2012,19.6,Persons at risk of poverty or social exclusion
2013,20.3,Persons at risk of poverty or social exclusion
2014,20.6,Persons at risk of poverty or social exclusion
2015,20.0,Persons at risk of poverty or social exclusion
2016,19.7,Persons at risk of poverty or social exclusion
2017,19.0,Persons at risk of poverty or social exclusion
2018,18.7,Persons at risk of poverty or social exclusion
2019,17.4,Persons at risk of poverty or social exclusion
