Year,Units,Series,Value
2010,%,relative to gdp,19.7
2011,%,relative to gdp,20.2
2012,%,relative to gdp,20.2
2013,%,relative to gdp,19.9
2014,%,relative to gdp,20.2
2015,%,relative to gdp,20.3
2016,%,relative to gdp,20.7
2017,%,relative to gdp,20.4
2018,%,relative to gdp,20.1
2019,%,relative to gdp,19.1
2020,%,relative to gdp,17.8
2010,%,as proportion of total gross value added,21.9
2011,%,as proportion of total gross value added,22.5
2012,%,as proportion of total gross value added,22.4
2013,%,as proportion of total gross value added,22.2
2014,%,as proportion of total gross value added,22.5
2015,%,as proportion of total gross value added,22.6
2016,%,as proportion of total gross value added,22.9
2017,%,as proportion of total gross value added,22.7
2018,%,as proportion of total gross value added,22.3
2019,%,as proportion of total gross value added,21.2
2020,%,as proportion of total gross value added,19.7
2010,eur,Je Einwohner,6291.0
2011,eur,Je Einwohner,6789.0
2012,eur,Je Einwohner,6880.0
2013,eur,Je Einwohner,6946.0
2014,eur,Je Einwohner,7311.0
2015,eur,Je Einwohner,7538.0
2016,eur,Je Einwohner,7865.0
2017,eur,Je Einwohner,8054.0
2018,eur,Je Einwohner,8130.0
2019,eur,Je Einwohner,7933.0
2020,eur,Je Einwohner,7141.0
